Strains 	NCBI assembly	BUSCO Completeness
Synechococcus sp. PCC 6312	GCF_000316685.1	97.9
Synechococcus sp. PCC 7002	GCF_000019485.1	98.2
Synechococcus sp. PCC 73109	GCF_001521855.1	98.4
Synechococcus sp. PCC 7336	GCF_000332275.1	97.8
Synechococcus sp. RCC307	GCA_000063525.1	98.7
Synechococcus sp. RS9916	GCF_000153825.1	98.7
Synechococcus sp. WH 5701	GCF_000153045.1	99.2
Synechococcus sp. WH 7805	GCF_000153285.1	99.2
Synechococcus spongiarum 142	"
GCA_001007625.1"	81.5
Synechococcus spongiarum 15L	"
GCA_001007635.1"	84.4
Synechocystis salina LEGE 00031	GCF_015207985.1	98
Synechocystis sp. PCC 6803	GCF_000340785.1	98.2
Synechocystis sp. PCC 7509	GCF_000332075.2	99.5
Thermostichus lividus PCC 6715	GCF_002754935.1	91.2
Thermosynechococcus vestitus BP-1	GCF_000011345.1	97.3
Tolypothrix tenuis PCC 7101	GCF_002368295.1	99.9
Trichormus variabilis 0441	GCF_009856605.1	99.8
Tychonema bourrellyi FEM_GT703	GCF_002412335.2	94.2
Vulcanococcus limneticus LL	GCF_002252705.1	99.5
Xenococcus sp. PCC 7305	GCF_000332055.1	99
